date,volume,open,close,predictions
2023-12-11,3738,94.4,92.8,
2023-12-12,7136,93.2,91.8,96.43345642089844
2023-12-13,4279,91.4,92.0,96.07967376708984
2023-12-14,4086,92.0,93.6,95.63819122314453
2023-12-15,6113,93.2,94.0,95.23875427246094
2023-12-18,7126,94.8,95.6,95.10015106201172
2023-12-19,4721,95.6,94.2,95.13398742675781
2023-12-20,8276,94.6,95.4,95.42424774169922
2023-12-21,6683,95.4,93.6,95.60454559326172
2023-12-22,5193,93.6,94.4,95.85059356689453
2023-12-25,133739,99.6,98.8,95.86201477050781
2023-12-26,25709,97.0,97.8,95.86299896240234
2023-12-27,40873,97.6,99.0,96.3884048461914
2023-12-28,9654,99.0,99.0,96.93645477294922
2023-12-29,20965,98.6,102.0,97.56134033203125
2024-01-03,10221,102.0,101.0,98.12574768066406
2024-01-04,9426,101.2,100.4,98.94795227050781
2024-01-05,4348,100.4,100.0,99.63713073730469
2024-01-08,16578,100.2,101.8,100.10021209716797
2024-01-09,13791,101.8,102.0,100.3541488647461
2024-01-10,29392,102.6,104.0,100.70643615722656
2024-01-11,13808,104.0,104.2,101.07833099365234
2024-01-12,15006,104.2,104.2,101.65705108642578
2024-01-15,30257,103.6,105.8,102.27014923095703
2024-01-16,20546,105.4,103.0,102.81732177734375
2024-01-17,10819,103.0,102.8,103.46038818359375
2024-01-18,11106,102.4,102.2,103.71404266357422
2024-01-19,3970,102.0,101.8,103.75391387939453
2024-01-22,9580,102.2,102.4,103.631591796875
2024-01-23,3506,102.4,103.2,103.4192123413086
2024-01-24,10428,103.0,102.2,103.28226470947266
2024-01-25,9563,102.4,103.8,103.30303192138672
2024-01-26,4343,103.6,103.2,103.27334594726562
2024-01-29,5086,103.4,101.8,103.43017578125
2024-01-30,13209,102.0,101.4,103.57308959960938
2024-01-31,6792,101.4,101.8,103.52410888671875
2024-02-01,12810,101.8,104.6,103.35643768310547
2024-02-02,8430,105.0,103.4,103.21353149414062
2024-02-05,7842,103.0,103.0,103.44487762451172
2024-02-06,8117,103.2,103.6,103.65408325195312
2024-02-07,12711,103.2,106.0,103.77877807617188
2024-02-08,11326,105.6,105.4,103.92302703857422
2024-02-09,9791,105.4,104.4,104.3466567993164
2024-02-12,9768,105.0,104.2,104.75128173828125
2024-02-13,1873,104.2,104.4,104.96897888183594
2024-02-14,9579,104.4,105.6,105.05280303955078
2024-02-15,7496,105.8,105.2,105.09259033203125
2024-02-16,67126,105.2,111.2,105.2557373046875
2024-02-19,106091,112.0,111.8,105.39936828613281
2024-02-20,43058,112.0,107.8,106.25157928466797
2024-02-21,33764,106.8,101.4,107.3464126586914
2024-02-22,26198,102.0,100.2,107.89681243896484
2024-02-26,17759,101.0,103.4,107.36349487304688
2024-02-27,11898,104.0,102.0,106.31610870361328
